Customer_ID,Name,Gender,Address,Nationality,Account_Type,Age,Education,Employment,Salary,Employer_Stability,Customer_Loyalty,Balance,Residential_Status
26,Michael Perez,1,0851 Nancy Valley Suite 558,239,1,0,0,0,60437,1,1,2368,0
27,Christopher White,0,96269 Cruz Mission Apt. 099,239,1,0,1,1,245,0,0,476384,0
28,Brianna Walker,0,729 Hamilton Point,239,1,2,0,2,245,1,0,9046,0
29,Brooke Smith,1,721 Kenneth Lakes,222,1,0,1,1,7623,0,1,2368,0
30,Vicki Barnes,0,953 Brandy Bypass,239,1,1,0,0,60437,0,1,476384,1
31,Katherine Hunter,1,4353 Saunders Squares,28,1,1,1,0,7623,1,0,9046,0
32,Michael Johnson,1,0647 Christopher Heights,222,1,1,0,0,60437,1,1,9046,0
33,Christina Trevino,0,12197 Emily Coves Suite 954,239,1,0,1,0,60437,0,1,9046,1
34,Pamela Miller,0,292 Brittany Groves,156,1,0,0,0,7623,0,1,2368,0
35,Tanya Harris,0,708 Carmen Drive,239,1,0,0,0,60437,0,1,476384,0
36,Mrs. Sandra Reyes MD,0,45429 Price Cliff Apt. 906,156,1,1,0,1,245,1,0,2368,1
37,Jason Rogers,1,4624 Rocha Centers Suite 817,156,1,0,0,2,245,0,0,2368,1
38,Matthew Porter,1,8084 Corey Lodge,239,1,1,0,0,60437,1,0,2368,1
39,Richard Mason,0,501 Justin Spurs,223,1,0,1,0,245,1,1,2368,0
40,Linda Perry,1,33182 Ryan Streets,223,1,1,0,1,7623,1,0,476384,1
41,Joshua Lopez,1,29497 Joshua Trace Apt. 349,239,1,2,1,1,245,1,0,476384,0
42,Miranda Herring,1,521 Jasmin Glen Apt. 585,99,1,0,1,2,245,0,0,9046,1
43,Veronica Thompson,1,73382 Cain Route,239,1,2,1,2,60437,1,1,2368,1
44,Jeffery Williams,1,574 Leslie Turnpike Suite 747,193,1,0,0,2,7623,0,1,476384,1
45,Gary Carpenter,1,1374 Garcia Village,156,1,1,0,2,60437,0,1,476384,0
46,Beth Schaefer,0,66192 Wells Lake,239,1,1,0,0,245,1,0,9046,1
47,Debra Ponce,1,3918 Ruiz Pass Suite 538,156,1,1,1,1,245,1,0,9046,1
48,Anthony Sanchez,0,2819 Williams Road,193,1,2,1,2,245,1,0,9046,1
49,Charles Schaefer,1,044 Johnson Ways Apt. 389,223,1,2,1,0,60437,1,0,2368,0
50,John Obrien,1,64565 Nicholas Village,239,1,2,1,0,7623,1,1,476384,0
51,Mark Moore,1,316 Jennifer Coves Suite 134,239,1,0,1,0,7623,1,1,2368,0
52,Joyce Lopez,0,775 Gomez Pine,222,1,1,1,1,60437,0,0,9046,1
53,Allison Wells,1,41834 Webb Trail Apt. 231,99,1,2,1,0,7623,1,1,9046,1
54,Paige Wells,1,513 Adam Underpass Apt. 820,239,1,0,0,1,245,1,1,476384,1
55,Wayne Mitchell,0,7159 Cunningham Terrace Apt. 452,222,1,0,0,0,7623,0,0,9046,0
56,Mrs. Joy Hoover,1,59038 Smith Circles,222,1,1,1,2,245,0,1,476384,1
57,Emily Washington,1,364 Samuel Lodge Suite 240,239,1,0,1,0,60437,1,1,2368,0
58,Michelle Gonzalez,0,25542 Rodriguez Dam,239,1,2,1,1,245,1,1,9046,1
59,Kenneth Strickland,1,61029 Dunn Way,239,1,1,1,2,245,0,0,9046,1
60,Marissa Singh,0,86538 Keith Corners,223,1,2,0,1,60437,1,0,476384,1
61,Sierra Lowe,0,13483 Obrien Plains Suite 165,222,1,2,1,2,60437,0,0,476384,1
62,Natasha Robinson,0,63152 Michelle Ridges,44,1,0,1,0,60437,0,0,476384,0
63,Linda Perry,0,062 Schultz Port,156,1,2,0,1,7623,1,1,2368,0
64,Rebecca Phillips,1,61178 Perez Bridge Suite 114,239,1,0,0,0,7623,0,0,9046,1
65,Christopher Moran,1,57035 Stewart Curve,239,1,0,0,2,60437,1,0,9046,1
66,Victoria Perez,1,55277 Green Light Apt. 977,239,1,2,0,1,7623,1,0,9046,0
67,Dakota Reynolds,0,4216 Farmer Burgs,239,1,2,1,0,245,0,1,476384,0
68,Martin Hendricks,0,448 Shane Ranch Suite 045,156,1,1,1,0,245,1,0,9046,1
69,Kimberly Beard,1,55883 Yolanda Brooks Apt. 021,145,1,2,1,2,245,0,0,2368,0
70,Jennifer Harrington,1,38544 Tucker Ridges Suite 684,145,1,1,1,2,60437,1,0,2368,1
71,Gina Hatfield,0,97571 Gregory Flats Apt. 405,145,1,1,1,0,7623,1,0,476384,1
72,Timothy May,1,986 Gregory Estates,44,1,1,1,2,7623,0,0,2368,1
73,Kimberly Reynolds,1,713 Perry Walk Suite 277,145,1,1,0,1,245,0,0,476384,0
74,Daniel Owens,0,144 Danielle Turnpike,239,1,1,1,2,60437,0,1,9046,0
75,Angela Brown,0,84503 Joyce Plaza,193,1,0,0,1,7623,1,1,9046,0
76,Dr. Carolyn Melendez,0,0682 Randall Glen Suite 361,239,1,2,1,2,245,0,1,2368,1
77,Kendra Lewis,0,740 Mills Locks Suite 191,239,1,1,1,2,245,0,0,9046,0
78,Christine Cook,1,3162 Nathan Overpass,28,1,2,0,1,7623,1,0,476384,0
79,Mark Anderson,1,109 Archer Radial,99,1,2,1,2,60437,0,1,2368,1
80,James Gonzales,1,820 Johnson Ramp,44,1,1,1,2,245,1,0,9046,0
81,Rachel Rivera,1,858 Peterson Fords Suite 714,239,1,1,1,2,7623,0,1,2368,0
82,Luis Tate,0,378 Edward Avenue Apt. 510,145,1,1,0,1,60437,0,0,2368,0
83,Christina Olson,1,667 Buck Field,239,1,2,1,0,245,1,0,2368,1
84,Stacey Watson,1,29418 Natasha Station Apt. 068,193,1,1,0,0,7623,0,1,476384,0
85,Brandi Gilbert,0,3485 Carter Courts Apt. 861,239,1,1,0,0,7623,1,0,2368,1
86,Mrs. Shelby Porter MD,0,6298 Cameron Stravenue,239,1,2,1,2,7623,1,1,2368,1
87,Ricardo Adams,1,3096 Daniel Common,44,1,1,1,2,60437,1,0,476384,0
88,Kelly White,0,00682 Romero Falls Suite 311,44,1,1,0,2,60437,0,0,476384,0
89,Patricia Cameron,1,29763 Sarah Keys Suite 334,239,1,2,0,0,60437,1,1,476384,0
90,Cynthia Davenport,0,035 Clements Fall,239,1,0,0,2,7623,1,1,9046,1
91,Kelsey Gray,1,4839 Preston Cove Suite 973,222,1,0,0,2,7623,1,0,476384,1
92,Megan Harding,0,51740 Jesse Squares Apt. 611,239,1,1,0,1,245,0,0,2368,0
93,Tom Henderson,0,78050 Suarez Inlet Apt. 990,28,1,2,0,2,7623,0,0,476384,0
94,Ryan Miller,1,7667 Richard Landing,222,1,2,1,2,245,1,1,2368,0
95,Mr. Mark Golden,0,074 Mark Tunnel,222,1,1,0,2,60437,1,1,9046,1
96,Michael Smith,0,915 Jeffrey Road,99,1,0,0,1,60437,0,0,2368,1
97,Lee Rosales,0,179 Wells Mission Suite 341,239,1,1,0,1,245,1,1,9046,0
98,Barry Rodriguez,0,0654 Wilson Estates Suite 696,239,1,2,1,1,245,1,1,9046,1
99,Danielle George,0,653 Jerry Lodge,239,1,2,1,0,7623,1,0,2368,0
100,Jeff Hill,1,2306 Christopher Forest,156,1,1,0,0,60437,1,0,476384,1
101,David Ramsey,0,365 Taylor Forge Suite 340,28,1,0,0,1,60437,0,0,476384,0
102,Melissa Sparks,0,61618 Eileen Mission Suite 500,99,1,2,1,1,60437,0,0,9046,1
103,Julie Nguyen,1,20510 Marshall Meadows,239,1,2,0,1,7623,0,0,9046,0
104,Michael Simmons,1,2926 Ryan Square Suite 597,239,1,2,0,0,7623,0,0,476384,1
105,Ricky Skinner,1,773 Manning Motorway Suite 889,239,1,0,0,0,245,1,0,476384,1
106,Kelly Le,0,86569 Michael Lodge Apt. 330,44,1,1,0,0,7623,1,0,9046,0
107,Frank White,1,15088 Davis Path,145,1,1,0,1,7623,1,1,2368,1
108,Ryan Huffman,1,748 Amanda Parkways,239,1,1,1,0,7623,0,1,9046,1
109,Spencer Clark,1,35749 Matthew Shore Suite 177,239,1,1,1,1,60437,1,0,9046,0
110,Reginald Parker,0,8958 Amanda Fields Suite 143,239,1,0,0,0,245,0,0,9046,1
111,Tyler Williams,0,992 Miller Burgs Suite 831,239,1,2,1,1,245,1,1,2368,1
112,Kristen Haynes,0,348 Thomas Underpass Apt. 313,239,1,0,0,2,245,0,0,2368,0
113,Rebecca Johnston,0,8608 Lee Islands Apt. 943,239,1,0,0,2,7623,0,0,476384,0
114,Bryce Parrish,0,477 Williamson Locks Suite 888,239,1,0,0,2,245,0,0,2368,0
115,Allison Hanson,0,367 Hernandez Walks Suite 086,239,1,1,0,1,245,0,1,476384,1
116,Luis Bradshaw,0,0234 Jordan Fields Suite 483,145,1,0,0,0,245,1,1,2368,0
117,Robert Reid,1,795 Guerra Shoals,28,1,0,0,0,60437,0,0,9046,0
118,Peter Wolf,0,41669 Werner Greens,239,1,2,1,0,245,1,1,9046,0
119,Jodi Ramirez,0,910 Matthew Heights Suite 750,222,1,0,1,0,245,1,1,476384,1
120,Courtney Jordan,0,103 Brittany Plaza Suite 339,239,1,0,0,0,245,0,1,476384,1
121,Rhonda Guzman,0,55402 Joshua Place,222,1,1,1,0,7623,1,0,476384,0
122,Rebecca Mayo,0,598 Cheyenne Ramp,145,1,2,1,1,245,1,1,9046,0
123,Elizabeth Flowers,1,8909 Sarah Mission Apt. 860,223,1,1,0,1,7623,0,0,9046,1
124,Tara Dudley,1,80114 Patricia Inlet Apt. 871,239,1,1,1,0,60437,1,0,2368,0
125,Melissa Silva,0,237 Richards Terrace,156,1,2,0,1,60437,1,0,2368,0
126,Daniel Johnson,1,7925 Carroll Alley Apt. 353,222,1,0,1,0,245,1,0,2368,1
127,Christy Alvarado,1,77674 Brittany Rest Suite 814,222,1,0,0,2,245,1,0,476384,0
128,Jennifer Compton,1,533 Douglas Terrace,145,1,1,0,2,60437,1,0,9046,0
129,David Mccann,0,344 Kathryn Meadows,222,1,2,1,0,245,0,0,2368,1
130,Samantha Carter,1,45841 Randy Mission Apt. 950,156,1,1,1,1,7623,1,0,476384,1
131,Melissa Holland,1,36506 Megan Forest Suite 045,145,1,1,0,2,60437,1,0,476384,0
132,Brent Logan,1,61764 Miranda Ferry Suite 916,239,1,1,0,2,60437,0,0,9046,0
133,Joshua Bird,0,823 Pearson Mission,239,1,1,1,1,7623,1,0,2368,1
134,Kenneth Garcia,0,27524 Williams Mission,239,1,2,0,1,7623,1,0,9046,1
135,Laura Sims,0,66628 Bailey Meadow Apt. 988,239,1,1,1,0,7623,0,0,9046,0
136,Julie Mcconnell,0,6840 Hernandez Extension Apt. 464,28,1,2,1,1,245,0,1,2368,1
137,Christian Perez,0,664 Manuel Pass,222,1,1,0,1,60437,1,1,2368,1
138,Gavin Garcia,1,6921 Tran Island Apt. 730,239,1,2,1,1,7623,0,1,9046,0
139,Michael Mckee,0,15332 Myers Rest,239,1,2,0,0,60437,0,0,2368,0
140,Rhonda Lee,0,91315 Gonzalez Inlet,239,1,2,0,0,60437,0,0,476384,0
141,Daniel Kim,1,29652 John Tunnel Apt. 197,239,1,2,1,1,245,1,1,9046,0
142,Anthony Wilson,0,97220 Mullen Station Apt. 047,145,1,1,0,1,7623,0,1,476384,1
143,Lisa Martin,1,75046 Middleton Run Apt. 661,239,1,0,0,1,245,0,1,9046,0
144,Samuel Mitchell,1,8120 John Square,28,1,1,0,1,60437,1,0,2368,0
145,Monica Doyle,0,57895 Heather Springs,28,1,2,0,2,7623,0,1,2368,0
146,Michelle Young,0,73821 John Route Apt. 099,239,1,2,0,0,245,0,1,9046,0
147,Sandra Maxwell DDS,0,95503 Janice Land Apt. 681,239,1,1,0,1,60437,1,0,476384,0
148,Taylor Lang,1,373 King Wall Suite 719,239,1,2,0,0,7623,0,0,476384,0
149,Colleen Fischer,1,71734 Gene Brooks Suite 350,239,1,1,0,2,7623,1,0,476384,1
150,Samantha Mathis,0,5705 Cain Park Suite 199,239,1,1,1,1,7623,0,0,476384,0
151,Megan Durham,1,13477 Robinson Gardens Apt. 291,222,1,1,1,2,60437,1,0,476384,0
152,Mitchell Davis,1,8735 Maria Corner Suite 844,239,1,0,1,2,245,1,1,9046,1
153,Mark Newton,1,88252 Harrington Streets Suite 692,44,1,1,1,2,245,1,1,476384,0
154,Joel Wright,1,88942 Zhang Valley,239,1,0,1,0,60437,0,0,2368,1
155,Jordan Williams,0,234 Kim Shores Apt. 687,44,1,2,1,0,7623,0,0,9046,1
156,Denise Miller,0,1185 Patricia Dale Apt. 552,145,1,2,1,2,7623,1,0,476384,0
157,Alfred Ochoa,0,3371 Cynthia Freeway Suite 686,239,1,2,1,2,7623,1,1,9046,1
158,Daniel Walter,1,7198 Diane Groves,239,1,1,1,1,60437,1,1,476384,0
159,Nicholas Miller,0,9209 Franklin Alley,239,1,2,0,1,245,0,0,2368,1
160,Dominique Lambert,0,09627 Leslie Shoals,239,1,0,0,2,7623,0,0,9046,1
161,James Wu,0,210 Lee Path Suite 052,239,1,0,0,1,245,0,1,2368,1
162,Shannon Knight,0,4057 Shepard Ports,99,1,0,0,0,245,0,0,2368,0
163,Sonya Riley,1,2764 Zachary Avenue Suite 168,193,1,1,0,0,7623,1,0,9046,0
164,Jennifer Johns,0,21331 Cynthia Crossing,44,1,0,1,1,245,1,1,2368,1
165,Amber Warren,0,5296 Sanchez Garden,145,1,2,0,2,60437,1,1,476384,0
166,Brandon Lopez,1,2894 Carol Valley Apt. 251,28,1,0,0,0,7623,1,0,2368,0
167,Steven Goodwin,1,2243 Jennifer Port Apt. 948,156,1,2,1,0,7623,1,1,476384,0
168,James Black,0,776 James Ramp Apt. 112,239,1,2,0,1,245,0,0,9046,0
169,Brandon Rush,0,0305 Lori Prairie,223,1,0,1,2,7623,1,0,476384,1
170,Donald Hall,0,615 George Glen Suite 819,99,1,2,0,2,7623,0,1,2368,1
171,James Anderson,1,250 Lyons Island,239,1,2,1,0,7623,1,0,2368,0
172,Manuel Miller,1,2475 Steve Trafficway,239,1,2,0,1,60437,1,0,2368,0
173,Seth Smith,0,20461 Lindsay Streets,239,1,0,1,1,60437,1,1,9046,0
174,Charlene Turner,1,479 Connie Flats Apt. 135,156,1,1,1,0,7623,1,1,476384,0
175,Erik Hicks,1,5702 White Manor,193,1,2,0,0,60437,1,0,2368,1
176,Julia Fuller,1,70069 Parker Circle,99,1,0,0,1,60437,1,1,476384,0
177,Sydney Davis,1,46938 Baldwin Summit,28,1,0,0,0,60437,0,0,476384,1
178,Nicholas Vaughan,1,456 Daniel Lights Suite 869,145,1,2,0,2,245,1,1,9046,1
179,Matthew Mitchell,1,8860 Odonnell Shoal,239,1,0,1,2,245,0,1,9046,0
180,Jeffrey Parker,0,07610 Price Fort,156,1,1,1,2,60437,1,1,476384,0
181,Lisa Martinez,1,99152 Torres Groves Apt. 755,145,1,2,0,2,7623,1,1,476384,0
182,David Kelly,0,40747 Steven Inlet Suite 294,193,1,0,0,2,7623,1,1,476384,1
183,Melissa Kim,1,9142 Griffith Garden,28,1,0,1,1,60437,1,1,2368,1
184,Rebecca Schmidt,1,207 Edwin Spurs Suite 834,99,1,1,0,0,245,1,0,9046,1
185,Michele Ferguson,1,215 Benjamin Spur,239,1,2,1,0,245,1,0,9046,0
186,Mary Brown,0,0649 Rhodes Motorway,28,1,1,1,1,7623,0,0,2368,1
187,Roberta Turner,0,2783 Harrison Manor Suite 474,239,1,0,1,2,60437,1,1,9046,0
188,Alexis Reynolds,1,6909 Vazquez Port Suite 484,239,1,0,1,0,245,1,1,2368,1
189,Christine Stout,1,3221 Coleman Street,193,1,0,0,1,60437,1,0,9046,1
190,Shannon Wright,1,4032 Walter Manor,239,1,0,1,0,7623,1,1,476384,0
191,Kathleen Smith,1,57469 Teresa Creek Suite 451,156,1,0,1,1,7623,1,1,476384,0
192,Angela Jenkins,1,64213 Brandon Cliffs Suite 514,239,1,0,1,1,7623,0,1,476384,0
193,Jeffrey Cox,0,0810 Alex Viaduct,223,1,2,1,1,60437,0,0,9046,0
194,Matthew Farmer,1,844 Paul Shores,239,1,2,0,0,7623,1,1,2368,0
195,Allison Miller,1,52064 Bentley Plaza,223,1,1,1,2,7623,1,0,476384,0
196,Karen Chapman,0,678 Stanton Wells,223,1,1,1,0,7623,1,0,9046,0
197,Deanna Anderson,1,270 Scott Pine Suite 809,239,1,1,0,2,60437,0,1,476384,1
198,Amanda Tanner,1,06250 Stacy Lake,145,1,0,0,0,60437,0,1,476384,1
199,Dawn Ramos,0,564 Smith Ports,223,1,0,1,2,7623,1,0,476384,0
200,Alicia Smith,1,68280 Lewis Summit,99,1,1,0,1,7623,1,1,9046,0
201,Ricky King,1,6220 Hall Inlet Apt. 814,239,1,1,1,1,7623,0,0,9046,0
202,Amy Davis,1,2373 Jesus Plains Suite 315,239,1,0,0,1,245,0,0,2368,0
203,Steven Duncan,0,5988 Perry Neck Apt. 955,28,1,0,0,0,60437,0,0,2368,1
204,Donald Jenkins,1,0690 Kenneth Union,222,1,2,1,1,7623,0,0,2368,0
205,Mary Mitchell,0,25457 Walker Ramp Apt. 366,239,1,1,1,2,245,0,1,9046,0
206,Danny Gonzalez,0,7376 Dawn Lights,193,1,2,1,1,60437,0,1,2368,0
207,Angela Matthews,0,6298 Robert Locks,193,1,0,0,2,60437,1,1,476384,1
208,Luis Santos,1,763 Davidson Island Suite 866,239,1,0,1,1,245,1,0,9046,1
209,Cassandra Smith,0,9770 Jessica Bypass Apt. 006,222,1,0,0,0,60437,1,0,2368,1
210,Anna Thompson,1,18426 Sara Club,193,1,1,0,2,7623,0,1,9046,0
211,Jessica Mendoza,1,945 David Station,239,1,1,1,0,245,0,1,9046,0
212,Amy Davidson,0,36143 Alyssa Neck Apt. 886,239,1,2,1,2,245,1,1,476384,1
213,Savannah Bautista,1,076 Nicholson Heights,145,1,1,0,2,60437,1,1,2368,1
214,Heather Rivera,1,8571 Jeremy Spurs Suite 697,239,1,1,0,2,60437,0,0,9046,0
215,Michael Carlson,1,054 Bradshaw Garden Suite 293,239,1,2,1,0,60437,0,0,476384,0
216,Sylvia Durham,0,902 Mills Landing Suite 712,239,1,2,0,0,245,1,1,2368,0
217,Jared Salazar,0,801 Copeland Roads Suite 135,28,1,1,0,0,60437,0,1,476384,0
218,Alyssa Pham,1,983 Cheryl Estate,239,1,0,0,2,60437,1,0,476384,0
219,Edward Gray,0,134 Levi Field,239,1,2,0,0,60437,1,1,9046,0
220,Elizabeth Romero,0,3696 Hancock Wall,222,1,2,0,2,245,1,1,2368,1
221,Patricia Johnson,0,228 Scott Court Suite 251,239,1,0,0,1,60437,0,1,9046,0
222,Jason Black,1,43957 Mark Harbors Suite 803,28,1,1,1,0,245,1,0,9046,0
223,Alec Gray,0,869 Sara Route,44,1,0,0,1,60437,0,0,9046,0
224,Luis Hudson,1,60506 Reese Haven Suite 536,239,1,2,1,0,60437,0,1,476384,1
225,Matthew Hernandez,1,2888 Reed Crossing,99,1,1,0,2,60437,1,0,476384,0
226,Michael Nolan Jr.,0,43497 Jessica Prairie Apt. 855,99,1,0,0,0,245,0,0,2368,1
227,Erica Wolf,0,23697 Stephanie River Apt. 758,239,1,0,1,2,60437,0,0,2368,1
228,Richard Jackson,1,98863 Underwood Course Apt. 802,44,1,0,1,0,60437,0,0,2368,1
229,Jessica Cannon,0,10193 Branch Throughway,239,1,2,1,2,7623,1,0,476384,0
230,Matthew Hammond II,0,17441 Davis Cape Suite 642,223,1,2,1,2,245,0,0,9046,0
231,Tyler Wood,1,115 Wright Falls,239,1,1,0,0,7623,1,1,9046,0
232,Megan Williams,1,613 Jennifer Park Apt. 701,193,1,1,1,0,60437,0,0,476384,1
233,Christopher Brewer,0,095 Chad Islands Apt. 513,193,1,0,1,0,245,0,1,9046,0
234,Deborah Ramirez,0,328 Robinson Islands,156,1,0,1,1,60437,0,0,476384,0
235,Courtney Le,0,175 Brian Junction Suite 306,28,1,2,1,2,7623,1,0,9046,0
236,David Howard,0,891 Gallegos Inlet,239,1,1,0,0,245,0,1,476384,1
237,Jerome Graham,1,730 Velazquez Heights Suite 580,239,1,0,1,2,7623,1,1,476384,1
238,Ashley Sanchez,1,165 Wallace Ville Suite 475,145,1,2,1,0,60437,1,1,2368,0
239,Timothy Vaughan,0,70334 Jason Fork Apt. 969,239,1,1,0,0,245,0,1,2368,1
240,Valerie Lloyd,0,0939 Deborah Rest,239,1,0,0,2,7623,0,0,476384,0
241,Michael Burgess,1,398 Jennifer Ferry,28,1,1,1,1,7623,0,1,2368,1
242,Cynthia Cabrera,1,127 Jessica Court,239,1,2,1,0,60437,1,0,2368,0
243,Lisa Young,0,91301 Quinn Lane,239,1,0,0,2,7623,1,1,2368,1
244,Robert Cummings,0,21865 Farmer Passage Suite 824,222,1,0,1,1,60437,1,1,2368,1
245,Richard Brown,1,481 Kevin Fields,44,1,0,0,1,7623,0,1,476384,0
246,Andrew Andrews,1,7489 Paul Cliffs Apt. 021,239,1,1,1,2,245,1,1,9046,0
247,Kyle Patterson,1,802 Rebecca River,28,1,0,0,0,245,1,1,9046,1
248,Scott Harding,1,97938 Jesse Causeway Apt. 013,99,1,2,1,1,7623,0,1,9046,0
249,Amber Lopez,1,917 Delgado Lock,44,1,0,1,0,7623,0,1,9046,1
250,Natalie Hammond,1,99740 King Ports,239,1,0,0,0,245,0,1,9046,0
251,Antonio Roberson,0,1870 Patrick Inlet,239,1,2,0,0,60437,1,0,2368,0
252,Abigail Adams,1,4068 Dennis Mountains Apt. 861,44,1,1,0,0,7623,0,0,476384,1
253,David Howard,1,878 Jeremiah Curve Suite 954,222,1,2,1,2,245,1,1,476384,0
254,Kristina Smith,0,651 Amber Views Apt. 894,239,1,0,1,1,7623,0,0,476384,0
255,Hannah Navarro,1,88932 Martinez Creek,156,1,2,0,2,7623,0,1,476384,1
256,Scott Romero,1,65093 Kayla River Apt. 626,239,1,2,0,1,60437,1,0,476384,1
257,James Lamb,1,3031 James Village Suite 687,156,1,2,1,0,245,1,1,476384,1
258,Melanie Ballard,1,960 Curtis Mill,222,1,2,0,2,7623,1,1,476384,0
259,Sarah Wallace,1,51470 Amber Harbor Apt. 048,28,1,0,1,1,7623,1,1,476384,1
260,Joseph Coleman,1,97480 Banks Mountain Apt. 271,28,1,0,0,0,245,0,0,2368,1
261,Amanda Taylor,1,801 Andrew Rue Suite 742,239,1,1,0,1,7623,0,1,9046,0
262,Debra Leonard,1,11386 Smith Parkway,145,1,1,1,2,60437,0,1,9046,0
263,Cory Baker,0,97486 Carlos Wells Apt. 364,239,1,0,0,2,7623,1,0,9046,1
264,Tony Baker,0,1822 James River Suite 423,239,1,1,1,2,245,0,1,9046,0
265,Johnathan Gould,1,807 Johnson Ferry Apt. 197,222,1,0,0,1,245,1,0,476384,1
266,Sara Vance,1,654 Patricia Courts Suite 178,156,1,1,0,1,7623,1,0,9046,1
267,Ricky Lewis,0,029 Ronald Neck,156,1,1,0,2,245,1,1,476384,0
268,Alexander Anderson,1,060 Justin Spur Apt. 660,99,1,0,1,2,60437,1,1,476384,1
269,Michael Haynes,0,421 Cook Roads,239,1,1,0,2,7623,0,1,2368,1
270,Raymond Stark III,1,7447 Eric Estates Apt. 835,156,1,0,1,2,60437,1,0,476384,1
271,Courtney Fuller,0,710 Patricia Place Apt. 160,223,1,2,0,1,60437,0,1,476384,0
272,Joseph Dixon,0,466 Anderson Turnpike Suite 590,223,1,1,0,0,60437,1,0,2368,1
273,Darryl Shah,1,23037 Brittney Plains Suite 336,239,1,0,1,0,60437,1,1,2368,1
274,Dawn Fields,0,907 Joseph Plain,239,1,2,0,0,60437,0,0,476384,0
275,Tyrone Nguyen,1,06374 Marquez Throughway Suite 086,239,1,1,1,0,60437,1,1,2368,0
276,Samuel Bradshaw,0,6651 Gibson Summit,193,1,0,1,2,245,0,0,9046,0
277,Kelsey Berg,1,57139 Mcmillan Pines,193,1,1,0,1,60437,1,0,476384,1
278,Robert Potter,1,7536 Debra Station,156,1,0,1,0,245,1,0,9046,0
279,Mary Obrien,1,48913 Wilcox Green,222,1,2,1,1,60437,0,1,2368,1
280,Gary Mosley,1,326 Amanda Club,99,1,1,1,0,60437,0,1,476384,1
281,Debbie Garcia,0,788 Martinez Ville Suite 460,239,1,1,1,0,245,1,1,2368,0
282,Heather Goodwin,1,2188 Barrett Plaza Apt. 823,239,1,1,1,2,245,1,1,2368,0
283,Pamela Smith,0,71302 Rodriguez Springs Suite 729,239,1,1,1,1,7623,0,1,2368,0
284,Carlos Drake,0,489 Aaron Burg,28,1,2,0,1,245,0,1,2368,0
285,Chad Berry,1,580 Tracy Springs Apt. 671,156,1,2,1,0,245,0,0,2368,1
286,Mary Bennett,1,5052 Foster Forges,239,1,2,0,2,7623,0,1,9046,0
287,Sara Fischer,1,370 Caldwell Ports,239,1,1,1,0,245,0,1,2368,1
288,Andrew Ruiz,0,2107 Jones Port,239,1,1,1,2,7623,0,0,9046,1
289,Sherri Jones,0,4425 Nicholson Flats Apt. 187,223,1,2,0,0,60437,1,0,9046,0
290,Mr. Douglas Cervantes MD,0,0910 Harris Loop Apt. 921,222,1,0,0,2,7623,0,1,9046,0
